Artikelnummer;Produktname;Beschreibung;ProduktURL;EAN;BildURL;Produktgruppe;PreisEuro;Herstellername;Versandkosten;Herstellernummer;Lieferzeit;Direktkauffreigabe;Lagerbestand;Versandart;Grundpreis;Freigegebene Stueckzahl
70137961;Wimpern- und Augenbrauenfarbe \"Fito Kosmetik\" auf Henna-Basis, Dunkle Schokolade, 2 x 2 ml;;https://www.kaufbei.tv/Kaufbei-Drogerie-Beauty/Wimpern-und-Augenbrauenfarbe-Fito-Kosmetik-auf-Henna-Basis-Dunkle-Schokolade-2-x-2-ml.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4670017921986;https://www.kaufbei.tv/out/pictures/master/product/1/1608030887eb32eeaf19b47f07d2fa7a608b89071c-f.png;Kaufbei Drogerie & Beauty;3,00;Fito Kosmetik;5,90;;1-4 Tage;;99;Paketdienst;0,75€/ml;99
70811156-3;Damenring aus Rotgold 585 mit Zirkonia | Kaufbei Schmuck;Damenring mit Zirkonia, Rotgold 585 mit Zirkonia;https://www.kaufbei.tv/Kaufbei-Schmuck/Damenringe/Damenring-mit-Zirkonia-Gold-Schmuck-Kaufen-17-mm-53.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;;https://www.kaufbei.tv/out/pictures/master/product/1/11156.png;Kaufbei Schmuck > Ringe > Damenringe;202,00;unbekannt;5,90;;1-4 Tage;;99;Paketdienst;;99
70138185;\"Dizao\" Hyaluron-Feuchtigkeitsmaske für Gesicht und Kinn, 30 g;\"Dizao\" Hyaluron-Feuchtigkeitsmaske für Gesicht und Kinn - \"Matrioschka\" Feuchtigkeitsspendend, 30 g;https://www.kaufbei.tv/Kaufbei-Drogerie-Beauty/Gesichtsmaske-Hyaluronsaeure-Dizao-Matrioschka-Feuchtigkeitsspendend-30-g.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;1220000151031;https://www.kaufbei.tv/out/pictures/master/product/1/160803103378881b53b35fc9e08286b8907f5e6c96-f.png;Kaufbei Drogerie & Beauty;5,32;DIZAO Natural;5,90;;1-4 Tage;;99;Paketdienst;0,18€/g;99
70810025;Ohrhänger aus 585 Rotgold mit London blau Topas und Zirkonia;585 Rotgold Ohrhänger mit London blau Topas und Zirkonia, Höhe ca. 25 mm;https://www.kaufbei.tv/Kaufbei-Schmuck/Ohrringe/Ohrhaenger-mit-London-blau-Topas-und-Zirkonia-Kaufbei-Schmuck.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4260404832706;https://www.kaufbei.tv/out/pictures/master/product/1/70810025-725460_oh_356g_25mm_topaslondon.jpg;Kaufbei Schmuck > Ohrringe;380,00;unbekannt;5,90;70810025;1-4 Tage;;99;Paketdienst;;99
70811118;Anhänger Herz aus 585 Rotgold mit Zirkonia | Kaufbei Schmuck;Anhänger Herz aus 585 Rotgold mit Zirkonia, Höhe ca. 22 mm;https://www.kaufbei.tv/Kaufbei-Schmuck/Anhaenger/Anhaenger-Herz-mit-Zirkonia-Kaufbei-Schmuck.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;;https://www.kaufbei.tv/out/pictures/master/product/1/anhaenger_herz_zirkonia.jpg;Kaufbei Schmuck > Schmuckanhänger;70,00;unbekannt;5,90;033808;1-4 Tage;;99;Paketdienst;;99
70811122;Anhänger aus 585 Rotgold mit Zirkonia | Kaufbei Schmuck;Anhänger, Rotgold 585, Zirkonia, Höhe ca. 27 mm;https://www.kaufbei.tv/Kaufbei-Schmuck/Anhaenger/Anhaenger-mit-Zirkonia-oxid-2.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4260404832799;https://www.kaufbei.tv/out/pictures/master/product/1/anhaenger_zirkonia_gold.jpg;Kaufbei Schmuck > Schmuckanhänger;217,00;unbekannt;5,90;T142534956;1-4 Tage;;99;Paketdienst;;99
70902228;Ohrringe aus 585 Rotgold | Kaufbei Schmuck;Ohrringe aus 585 Rotgold in Tropfenform;https://www.kaufbei.tv/Kaufbei-Schmuck/Ohrringe-als-Tropfen-aus-585-Rotgold-Kaufbei-Schmuck.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;;https://www.kaufbei.tv/out/pictures/master/product/1/70902228_3_ohrringe_rotgold.jpg;Kaufbei Schmuck;229,00;SOKOLOV Schmuck & Jewelry;5,90;;1-4 Tage;;4;Paketdienst;;4
1902-2;Set: Silberkette mit Anhänger \"Engel mit Perle\" | Kaufbei Schmuck;Kettenlänge 55cm;https://www.kaufbei.tv/Kaufbei-Schmuck/Silberkette-Engelanhaenger-und-einer-Perle-Kaufbei-Schmuck-Silberkette-55cm-Engelanhaenger-und-einer-Perle.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;;https://www.kaufbei.tv/out/pictures/master/product/1/02.jpg;Kaufbei Schmuck;25,00;unbekannt;5,90;;1-4 Tage;;2;Paketdienst;;2
70810743;Ohrhänger aus 585 Rotgold mit London Blue Topas und Zirkonia | Kaufbei Schmuck;Ohrhänger aus 585 Rotgold mit London Blue Topas und Zirkonia;https://www.kaufbei.tv/Russischer-Schmuck-Russisches-Gold/Ohrhaenger-mit-London-Blue-Topas-und-Zirkonia-Kaufbei-Schmuck-oxid.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;;https://www.kaufbei.tv/out/pictures/master/product/1/15133_ohrringerkaufbei_schmuck.jpg;Russisches Gold Russischer Schmuck;415,00;unbekannt;5,90;15133;1-4 Tage;;99;Paketdienst;;99
70136484;Teeglashalter \"Geliebte Frau\" (mit Teeglas 200 ml);Teeglashalter \"Geliebte Frau\" (mit Teeglas 200 ml);https://www.kaufbei.tv/Kaufbei-Kueche-Haushalt/Teeglashalter-mit-Teeglas-200-ml.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4250757721208;https://www.kaufbei.tv/out/pictures/master/product/1/1554806460c2b011dc59607a080943d12a394c7473-f.png;Kaufbei Küche & Haushalt;9,99;unbekannt;5,90;;1-4 Tage;;99;Paketdienst;;99
