Datum	Otto Id	OXID BestNr.	Summe (brutto)	Summe (netto)	Währung	Währung (Rate)	KundenNr.	Bestellordner	Versandart
2023-02-01 23:33:02	cbn4cyy89b	850012427	156.29	126.04	EUR	1.00	25002189	ORDERFOLDER_NEW	DHL
2023-02-02 15:33:02	cbn4cy3bnc	850012429	176.29	142.85	EUR	1.00	25002190	ORDERFOLDER_NEW	DHL
2023-02-02 15:33:03	cbn4cy3b75	850012430	161.30	130.25	EUR	1.00	25002191	ORDERFOLDER_NEW	DHL
2023-02-03 01:33:02	cbn4cy5bwj	850012431	106.29	84.03	EUR	1.00	25002192	ORDERFOLDER_NEW	DHL
2023-02-03 01:33:02	cbn4cy5jqx	850012432	156.29	126.04	EUR	1.00	25002193	ORDERFOLDER_NEW	DHL
2023-02-03 17:33:02	cbn4cy3tjm	850012434	156.29	126.04	EUR	1.00	25002194	ORDERFOLDER_NEW	DHL
2023-02-03 22:33:02	cbn4cy7sdw	850012435	306.29	252.09	EUR	1.00	25002195	ORDERFOLDER_NEW	DHL
2023-02-05 16:33:02	cbn4czd838	850012436	10.75	3.74	EUR	1.00	25002196	ORDERFOLDER_NEW	DHL
2023-02-05 16:33:03	cbn4czgpb3	850012437	306.29	252.09	EUR	1.00	25002197	ORDERFOLDER_NEW	DHL
2023-02-05 16:33:03	cbn4czg8vp	850012438	306.29	252.09	EUR	1.00	25002198	ORDERFOLDER_NEW	DHL
2023-02-05 21:33:02	cbn4czjjcm	850012439	41.29	29.40	EUR	1.00	25002199	ORDERFOLDER_NEW	DHL
2023-02-05 21:33:02	cbn4czkcyv	850012440	16.28	8.39	EUR	1.00	25002200	ORDERFOLDER_NEW	DHL
2023-02-06 02:33:02	cbn4czkkwr	850012441	66.29	50.41	EUR	1.00	25002201	ORDERFOLDER_NEW	DHL
2023-02-06 13:33:02	cbn4cy9xkd	850012443	91.29	71.42	EUR	1.00	25002202	ORDERFOLDER_NEW	DHL
2023-02-07 04:33:03	cbn4czqw86	850012444	106.29	84.03	EUR	1.00	25002203	ORDERFOLDER_NEW	DHL
2023-02-08 01:33:02	cbn4czt8qk	850012445	24.29	15.12	EUR	1.00	25002204	ORDERFOLDER_NEW	DHL
2023-02-08 12:33:03	cbn4czvwsp	850012446	106.29	84.03	EUR	1.00	25002205	ORDERFOLDER_NEW	DHL
2023-02-08 23:33:02	cbn4czxznx	850012447	106.29	84.03	EUR	1.00	25002206	ORDERFOLDER_NEW	DHL
2023-02-09 10:33:03	cbn4czy5z9	850012448	41.29	29.40	EUR	1.00	25002207	ORDERFOLDER_NEW	DHL
2023-02-09 20:33:02	cbn4cz2grq	850012449	30.26	20.13	EUR	1.00	25002208	ORDERFOLDER_NEW	DHL
2023-02-10 01:33:03	cbn4cz3ctp	850012450	231.30	189.08	EUR	1.00	25002209	ORDERFOLDER_NEW	DHL
2023-02-10 17:33:02	cbn4cz4xqh	850012451	366.29	302.51	EUR	1.00	25002210	ORDERFOLDER_NEW	DHL
2023-02-10 17:33:03	cbn4cz4545	850012452	41.29	29.40	EUR	1.00	25002211	ORDERFOLDER_NEW	DHL
2023-02-10 17:33:03	cbn4cz48t5	850012453	66.29	50.41	EUR	1.00	25002212	ORDERFOLDER_NEW	DHL
2023-02-10 22:33:02	cbn4cz5tmk	850012454	106.29	84.03	EUR	1.00	25002213	ORDERFOLDER_NEW	DHL
2023-02-11 03:33:02	cbn4cz64mz	850012455	66.29	50.41	EUR	1.00	25002214	ORDERFOLDER_NEW	DHL
2023-02-11 09:33:02	cbn4cz67kr	850012456	38.30	26.89	EUR	1.00	25002215	ORDERFOLDER_NEW	DHL
2023-02-11 14:33:02	cbn4cz7d8z	850012457	14.29	6.71	EUR	1.00	25002216	ORDERFOLDER_NEW	DHL
2023-02-11 19:33:03	cbn4cz8qn7	850012458	485.30	402.52	EUR	1.00	25002217	ORDERFOLDER_NEW	DHL
2023-02-11 19:33:03	cbn4cz8959	850012459	106.29	84.03	EUR	1.00	25002218	ORDERFOLDER_NEW	DHL
2023-02-11 19:33:03	cbn4cz9dkh	850012460	106.29	84.03	EUR	1.00	25002219	ORDERFOLDER_NEW	DHL
2023-02-12 00:33:03	cbn4cz9897	850012461	176.29	142.85	EUR	1.00	25002220	ORDERFOLDER_NEW	DHL
2023-02-12 11:33:03	cbn4c2byyw	850012462	106.29	84.03	EUR	1.00	25002221	ORDERFOLDER_NEW	DHL
2023-02-12 16:33:02	cbn4c2cq3s	850012463	366.29	302.51	EUR	1.00	25002222	ORDERFOLDER_NEW	DHL
2023-02-12 16:33:03	cbn4c2cq5t	850012464	66.29	50.41	EUR	1.00	25002223	ORDERFOLDER_NEW	DHL
2023-02-12 16:33:03	cbn4c2cykr	850012465	16.28	8.39	EUR	1.00	25002224	ORDERFOLDER_NEW	DHL
2023-02-12 16:33:03	cbn4c2cyst	850012466	57.30	42.86	EUR	1.00	25002225	ORDERFOLDER_NEW	DHL
2023-02-12 16:33:03	cbn4c2c639	850012467	156.29	126.04	EUR	1.00	25002226	ORDERFOLDER_NEW	DHL
